frame,areas,diffs,plucked_areas,colored,areas (μm^2)
268,698,14.0,False,2,1.887392
269,691,7.0,False,2,1.868464
270,702,11.0,False,2,1.898208
271,710,8.0,False,2,1.9198399999999998
272,705,5.0,False,2,1.9063199999999998
273,710,5.0,False,2,1.9198399999999998
274,720,10.0,False,2,1.94688
275,720,0.0,False,2,1.94688
276,727,7.0,False,2,1.9658079999999998
277,736,9.0,False,2,1.990144
278,739,3.0,False,2,1.9982559999999998
279,748,9.0,False,2,2.022592
280,753,5.0,False,2,2.0361119999999997
281,753,0.0,False,2,2.0361119999999997
282,756,3.0,False,2,2.044224
283,754,2.0,False,2,2.0388159999999997
284,761,7.0,False,2,2.057744
285,770,9.0,False,2,2.08208
286,771,1.0,False,2,2.084784
287,779,8.0,False,2,2.106416
288,783,4.0,False,2,2.117232
289,783,0.0,False,2,2.117232
290,783,0.0,False,2,2.117232
291,794,11.0,False,2,2.146976
292,800,6.0,False,2,2.1632
293,802,2.0,False,2,2.168608
294,799,3.0,False,2,2.1604959999999997
295,811,12.0,False,2,2.192944
296,811,0.0,False,2,2.192944
297,824,13.0,False,2,2.228096
298,829,5.0,False,2,2.241616
301,451,-378.0,False,3,1.219504
302,455,4.0,False,3,1.2303199999999999
303,455,0.0,False,3,1.2303199999999999
304,456,1.0,False,3,1.233024
305,461,5.0,False,3,1.2465439999999999
306,466,5.0,False,3,1.2600639999999999
307,465,1.0,False,3,1.2573599999999998
308,470,5.0,False,3,1.27088
309,465,5.0,False,3,1.2573599999999998
310,474,9.0,False,3,1.281696
311,477,3.0,False,3,1.2898079999999998
312,474,3.0,False,3,1.281696
313,483,9.0,False,3,1.3060319999999999
314,484,1.0,False,3,1.308736
315,491,7.0,False,3,1.327664
316,486,5.0,False,3,1.314144
317,495,9.0,False,3,1.33848
318,496,1.0,False,3,1.341184
319,499,3.0,False,3,1.3492959999999998
320,502,3.0,False,3,1.357408
321,497,5.0,False,3,1.343888
322,505,8.0,False,3,1.3655199999999998
323,511,6.0,False,3,1.3817439999999999
324,517,6.0,False,3,1.3979679999999999
325,525,8.0,False,3,1.4196
326,527,2.0,False,3,1.4250079999999998
327,528,1.0,False,3,1.4277119999999999
328,530,2.0,False,3,1.43312
329,537,7.0,False,3,1.452048
330,539,2.0,False,3,1.4574559999999999
331,547,8.0,False,3,1.479088
332,549,2.0,False,3,1.4844959999999998
333,546,3.0,False,3,1.476384
334,557,11.0,False,3,1.506128
335,557,0.0,False,3,1.506128
336,553,4.0,False,3,1.495312
337,557,4.0,False,3,1.506128
339,564,7.0,False,3,1.525056
340,575,11.0,False,3,1.5548
341,579,4.0,False,3,1.565616
342,583,4.0,False,3,1.5764319999999998
343,579,4.0,False,3,1.565616
344,585,6.0,False,3,1.58184
345,592,7.0,False,3,1.600768
346,590,2.0,False,3,1.59536
347,593,3.0,False,3,1.6034719999999998
348,604,11.0,False,3,1.6332159999999998
349,610,6.0,False,3,1.6494399999999998
350,614,4.0,False,3,1.660256
351,614,0.0,False,3,1.660256
352,613,1.0,False,3,1.657552
353,627,14.0,False,3,1.6954079999999998
354,629,2.0,False,3,1.7008159999999999
355,629,0.0,False,3,1.7008159999999999
356,639,10.0,False,3,1.7278559999999998
357,640,1.0,False,3,1.7305599999999999
358,639,1.0,False,3,1.7278559999999998
359,654,15.0,False,3,1.7684159999999998
360,655,1.0,False,3,1.7711199999999998
361,660,5.0,False,3,1.7846399999999998
362,655,5.0,False,3,1.7711199999999998
363,659,4.0,False,3,1.781936
364,663,4.0,False,3,1.792752
365,672,9.0,False,3,1.8170879999999998
366,667,5.0,False,3,1.8035679999999998
367,679,12.0,False,3,1.8360159999999999
368,679,0.0,False,3,1.8360159999999999
369,687,8.0,False,3,1.857648
370,688,1.0,False,3,1.8603519999999998
371,704,16.0,False,3,1.903616
372,699,5.0,False,3,1.8900959999999998
373,707,8.0,False,3,1.9117279999999999
374,706,1.0,False,3,1.9090239999999998
375,712,6.0,False,3,1.9252479999999998
376,723,11.0,False,3,1.9549919999999998
377,726,3.0,False,3,1.963104
378,727,1.0,False,3,1.9658079999999998
379,730,3.0,False,3,1.97392
380,737,7.0,False,3,1.992848
381,740,3.0,False,3,2.00096
382,748,8.0,False,3,2.022592
383,751,3.0,False,3,2.030704
384,761,10.0,False,3,2.057744
385,759,2.0,False,3,2.052336
386,770,11.0,False,3,2.08208
387,768,2.0,False,3,2.076672
388,768,0.0,False,3,2.076672
389,780,12.0,False,3,2.10912
390,775,5.0,False,3,2.0955999999999997
391,788,13.0,False,3,2.1307519999999998
392,787,1.0,False,3,2.1280479999999997
393,797,10.0,False,3,2.1550879999999997
394,794,3.0,False,3,2.146976
395,764,30.0,False,3,2.0658559999999997
396,476,-288.0,False,4,1.2871039999999998
397,473,3.0,False,4,1.278992
398,484,11.0,False,4,1.308736
399,483,1.0,False,4,1.3060319999999999
400,487,4.0,False,4,1.3168479999999998
401,489,2.0,False,4,1.3222559999999999
402,495,6.0,False,4,1.33848
403,497,2.0,False,4,1.343888
404,501,4.0,False,4,1.354704
405,498,3.0,False,4,1.346592
406,505,7.0,False,4,1.3655199999999998
407,504,1.0,False,4,1.3628159999999998
408,505,1.0,False,4,1.3655199999999998
409,515,10.0,False,4,1.3925599999999998
410,522,7.0,False,4,1.4114879999999999
411,525,3.0,False,4,1.4196
412,527,2.0,False,4,1.4250079999999998
413,532,5.0,False,4,1.4385279999999998
414,535,3.0,False,4,1.44664
415,536,1.0,False,4,1.449344
416,543,7.0,False,4,1.4682719999999998
417,545,2.0,False,4,1.4736799999999999
418,549,4.0,False,4,1.4844959999999998
419,547,2.0,False,4,1.479088
420,550,3.0,False,4,1.4871999999999999
421,551,1.0,False,4,1.489904
422,552,1.0,False,4,1.492608
423,566,14.0,False,4,1.5304639999999998
424,563,3.0,False,4,1.522352
425,566,3.0,False,4,1.5304639999999998
426,574,8.0,False,4,1.552096
427,578,4.0,False,4,1.5629119999999999
428,581,3.0,False,4,1.571024
429,584,3.0,False,4,1.5791359999999999
430,584,0.0,False,4,1.5791359999999999
431,593,9.0,False,4,1.6034719999999998
432,590,3.0,False,4,1.59536
433,601,11.0,False,4,1.6251039999999999
434,606,5.0,False,4,1.6386239999999999
435,602,4.0,False,4,1.627808
436,608,6.0,False,4,1.644032
437,611,3.0,False,4,1.6521439999999998
438,620,9.0,False,4,1.67648
439,624,4.0,False,4,1.687296
440,627,3.0,False,4,1.6954079999999998
441,624,3.0,False,4,1.687296
442,634,10.0,False,4,1.7143359999999999
443,641,7.0,False,4,1.733264
444,643,2.0,False,4,1.7386719999999998
445,644,1.0,False,4,1.7413759999999998
446,653,9.0,False,4,1.765712
447,657,4.0,False,4,1.7765279999999999
448,655,2.0,False,4,1.7711199999999998
449,662,7.0,False,4,1.7900479999999999
450,661,1.0,False,4,1.7873439999999998
452,671,10.0,False,4,1.8143839999999998
453,680,9.0,False,4,1.83872
454,694,14.0,False,4,1.8765759999999998
455,686,8.0,False,4,1.854944
456,691,5.0,False,4,1.868464
457,696,5.0,False,4,1.8819839999999999
458,703,7.0,False,4,1.900912
459,701,2.0,False,4,1.8955039999999999
460,706,5.0,False,4,1.9090239999999998
461,713,7.0,False,4,1.9279519999999999
462,717,4.0,False,4,1.9387679999999998
463,720,3.0,False,4,1.94688
464,723,3.0,False,4,1.9549919999999998
465,733,10.0,False,4,1.9820319999999998
466,738,5.0,False,4,1.9955519999999998
467,744,6.0,False,4,2.011776
468,749,5.0,False,4,2.025296
469,752,3.0,False,4,2.0334079999999997
470,755,3.0,False,4,2.04152
471,757,2.0,False,4,2.046928
472,769,12.0,False,4,2.079376
473,760,9.0,False,4,2.05504
474,774,14.0,False,4,2.0928959999999996
475,779,5.0,False,4,2.106416
476,783,4.0,False,4,2.117232
477,781,2.0,False,4,2.111824
478,782,1.0,False,4,2.114528
479,793,11.0,False,4,2.144272
480,794,1.0,False,4,2.146976
481,793,1.0,False,4,2.144272
482,806,13.0,False,4,2.179424
483,809,3.0,False,4,2.1875359999999997
484,819,10.0,False,4,2.2145759999999997
485,831,12.0,False,4,2.2470239999999997
486,837,6.0,False,4,2.263248
487,841,4.0,False,4,2.2740639999999996
488,847,6.0,False,4,2.290288
489,851,4.0,False,4,2.301104
490,851,0.0,False,4,2.301104
491,866,15.0,False,4,2.3416639999999997
492,865,1.0,False,4,2.3389599999999997
493,856,9.0,False,4,2.314624
494,867,11.0,False,4,2.344368
495,869,2.0,False,4,2.349776
496,864,5.0,False,4,2.3362559999999997
497,874,10.0,False,4,2.3632959999999996
498,879,5.0,False,4,2.376816
502,530,-349.0,False,5,1.43312
503,538,8.0,False,5,1.4547519999999998
504,545,7.0,False,5,1.4736799999999999
505,544,1.0,False,5,1.4709759999999998
506,553,9.0,False,5,1.495312
507,558,5.0,False,5,1.508832
508,554,4.0,False,5,1.4980159999999998
509,553,1.0,False,5,1.495312
510,555,2.0,False,5,1.5007199999999998
511,561,6.0,False,5,1.5169439999999998
512,573,12.0,False,5,1.5493919999999999
513,578,5.0,False,5,1.5629119999999999
514,576,2.0,False,5,1.5575039999999998
515,578,2.0,False,5,1.5629119999999999
516,583,5.0,False,5,1.5764319999999998
517,586,3.0,False,5,1.584544
518,589,3.0,False,5,1.5926559999999998
519,602,13.0,False,5,1.627808
520,600,2.0,False,5,1.6223999999999998
521,596,4.0,False,5,1.611584
522,604,8.0,False,5,1.6332159999999998
523,613,9.0,False,5,1.657552
524,601,12.0,False,5,1.6251039999999999
525,615,14.0,False,5,1.6629599999999998
526,626,11.0,False,5,1.692704
527,623,3.0,False,5,1.6845919999999999
528,625,2.0,False,5,1.69
529,624,1.0,False,5,1.687296
530,629,5.0,False,5,1.7008159999999999
531,639,10.0,False,5,1.7278559999999998
532,643,4.0,False,5,1.7386719999999998
533,651,8.0,False,5,1.7603039999999999
534,646,5.0,False,5,1.746784
535,656,10.0,False,5,1.7738239999999998
536,658,2.0,False,5,1.779232
537,662,4.0,False,5,1.7900479999999999
